"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,contact,,text,"Record ID",,,,,,,,,,,,,
sub_id,contact,,text,"Subject ID",,,integer,,,,,,,,,,
name,contact,,text,Name,,,,,,y,,y,,,,,
email,contact,,text,"Email address",,,email,,,,,y,,,,,
phone_number,contact,,text,"Phone number",,,phone,,,,,,,,,,
case_control,contact,,radio,"Case or control","1, Case | 2, Control",,,,,,,,,,,,
q1_date_time_completed,questionnaire,,text,"Date and Time completed ",,,datetime_mdy,,,,,,,,,,
race,questionnaire,,checkbox,Race,"1, Black or African American | 2, White | 3, Asian | 4, Native Hawaiian or Other Pacific Islander | 5, American Indian or Alaska Native | 6, Other","Which of these races do you identify with? Select all that apply",,,,,,,,,,,
other_race,questionnaire,,text,"If you selected ""other"" race, please specify",,"If you selected ""other"" race, please specify",,,,,"[race(6)] = '1'",,,,,,
ethnicity,questionnaire,,dropdown,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino",,,,,,,,,,,,
